00;AREA DE PRESIDENCIA
11;ÁREA DE COHESIÓN SOCIAL E IGUALDAD
12;ÁREA DE CULTURA Y CIUDADANÍA
21;ÁREA DE HACIENDA
22;ÁREA DE CONCERTACIÓN
31;ÁREA DE COHESIÓN TERRITORIAL
32;ÁREA DE SERVICIOS PÚBLICOS SUPRAMUNICIPALES
41;ÁREA DEL EMPLEADO PÚBLICO
42;ÁREA DE RÉGIMEN INTERIOR
